timestamp,message
2026-02-26 01:51:55,  running step=1 env_rate=0.5
2026-02-26 01:51:55,  running master=master_9148 sims=94 avg_1000_iter=1.06s avg_fps=946.70 species_progress=13881.0/20000 (69.41%) species_total=13881.0 species_max=205.0 frames_max=937000
2026-02-26 01:52:05,[2026-02-26 01:52:05] [UPDATE] hub_73 status=running progress=0/21 (3.35%) ok=0 failed=0 stopped=0 no_master=0 aborted=0 elapsed=00:12:20
2026-02-26 01:52:05,  estimate remaining=05:55:43 total=06:08:03 finish_at=2026-02-26 07:47:48
2026-02-26 01:52:05,  running step=1 env_rate=0.5
2026-02-26 01:52:05,  running master=master_9148 sims=94 avg_1000_iter=1.06s avg_fps=946.38 species_progress=14081.0/20000 (70.41%) species_total=14081.0 species_max=208.0 frames_max=945000
2026-02-26 01:52:15,[2026-02-26 01:52:15] [UPDATE] hub_73 status=running progress=0/21 (3.40%) ok=0 failed=0 stopped=0 no_master=0 aborted=0 elapsed=00:12:30
2026-02-26 01:52:15,  estimate remaining=05:55:37 total=06:08:07 finish_at=2026-02-26 07:47:52
2026-02-26 01:52:15,  running step=1 env_rate=0.5
2026-02-26 01:52:15,  running master=master_9148 sims=94 avg_1000_iter=1.06s avg_fps=945.85 species_progress=14270.0/20000 (71.35%) species_total=14270.0 species_max=209.0 frames_max=954000
